molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,pIC50,Classification
CHEMBL453651,CNC(=O)c1ccc(Nc2nccc(-c3cnc(COC)n3C(C)C)n2)cc1,IC50,=,62.0,nM,380.4520000000001,3.170600000000002,2.0,7.0,7.2076083105017466,1
CHEMBL453655,CNC(=O)c1ccc(Nc2ncc(F)c(-c3cnc(C)n3C(C)C)n2)cc1,IC50,=,3.0,nM,368.4160000000001,3.471720000000002,2.0,6.0,8.522878745280337,1
CHEMBL453862,Cc1ncc(-c2nc(Nc3ccc(C(=O)N(C)C)cc3)ncc2F)n1C(C)C,IC50,=,2.0,nM,382.4430000000001,3.813920000000003,1.0,6.0,8.698970004336019,1
CHEMBL510436,Cc1ncc(-c2ccnc(Nc3ccc(C(=O)N(C)C)c(F)c3)n2)n1C(C)C,IC50,=,6.0,nM,382.4430000000001,3.813920000000003,1.0,6.0,8.221848749616356,1
CHEMBL454648,Cc1ncc(-c2nc(Nc3ccc(C(=O)N(C)C)c(F)c3)ncc2F)n1C(C)C,IC50,=,2.0,nM,400.4330000000001,3.953020000000003,1.0,6.0,8.698970004336019,1
CHEMBL508739,Cc1cc(Nc2ncc(F)c(-c3cnc(C)n3C(C)C)n2)ccc1C(=O)N(C)C,IC50,=,9.0,nM,396.47000000000014,4.122340000000003,1.0,6.0,8.045757490560675,1
CHEMBL461140,CN(C)CCOc1ccc(/C=C/c2cc(-c3cc4c(=O)[nH]cnc4[nH]3)ccn2)cc1,IC50,=,8200.0,nM,401.47,3.4240000000000013,2.0,5.0,5.086186147616283,0
CHEMBL455467,Cc1ncc(-c2ccnc(Nc3ccc(C(=O)N4CCN(C)CC4)cc3)n2)n1C(C)C,IC50,=,9.0,nM,419.5330000000002,3.3606200000000017,1.0,7.0,8.045757490560675,1
CHEMBL451462,Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CCN(C)CC4)cc3)ncc2F)n1C(C)C,IC50,=,18.0,nM,437.5230000000002,3.4997200000000026,1.0,7.0,7.7447274948966935,1
CHEMBL455468,Cc1ncc(-c2ccnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3)n2)n1C(C)C,IC50,=,37.0,nM,433.5600000000003,3.7970200000000025,2.0,7.0,7.431798275933005,1
CHEMBL507722,Cc1ncc(-c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3)ncc2F)n1C(C)C,IC50,=,36.0,nM,451.5500000000002,3.9361200000000034,2.0,7.0,7.443697499232712,1
CHEMBL453895,Cc1ncc(-c2ccnc(Nc3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)n2)n1C(C)C,IC50,=,11.0,nM,451.5500000000003,3.9361200000000025,2.0,7.0,7.958607314841775,1
CHEMBL509406,Cc1ncc(-c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)ncc2F)n1C(C)C,IC50,=,1.0,nM,469.5400000000002,4.075220000000003,2.0,7.0,9.0,1
CHEMBL453629,Cc1ncc(-c2ccnc(Nc3ccc(C(=O)NCCN(C)C)c(F)c3)n2)n1C(C)C,IC50,=,3.0,nM,425.51200000000017,3.403520000000002,2.0,7.0,8.522878745280337,1
CHEMBL462385,Cc1ncc(-c2nc(Nc3ccc(C(=O)NCCN(C)C)c(F)c3)ncc2F)n1C(C)C,IC50,=,2.0,nM,443.5020000000001,3.542620000000003,2.0,7.0,8.698970004336019,1
CHEMBL460102,Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CC[C@H](N(C)C)C4)cc3)ncc2F)n1C(C)C,IC50,=,2.0,nM,451.5500000000002,3.888220000000003,1.0,7.0,8.698970004336019,1
CHEMBL460103,Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CC[C@@H](N(C)C)C4)cc3)ncc2F)n1C(C)C,IC50,=,6.0,nM,451.5500000000002,3.888220000000003,1.0,7.0,8.221848749616356,1
CHEMBL462192,Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CCCN(C)CC4)cc3)ncc2F)n1C(C)C,IC50,=,2.0,nM,451.5500000000002,3.889820000000003,1.0,7.0,8.698970004336019,1
CHEMBL518826,CCCN(C)[C@H]1CCN(C(=O)c2ccc(Nc3nccc(-c4cnc(C)n4C(C)C)n3)cc2)C1,IC50,=,4.0,nM,461.6140000000002,4.529320000000004,1.0,7.0,8.397940008672037,1
CHEMBL460087,CN[C@H]1CCN(C(=O)c2ccc(Nc3nccc(-c4cnc(C)n4C(C)C)n3)cc2)C1,IC50,=,2.0,nM,419.5330000000002,3.4069200000000013,2.0,7.0,8.698970004336019,1
