molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,pIC50,Classification
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IC50,=,14700.0,nM,286.23900000000003,2.2824000000000004,4.0,6.0,4.8326826652518236,0
CHEMBL2314780,O=C(N[C@@H](C(=O)Nc1cc(C(CO)NCc2ccccc2)ccc1C(=O)c1ccccc1)c1ccccc1)OCc1ccccc1,IC50,=,4200.0,nM,613.714,6.347000000000005,4.0,6.0,5.376750709602099,0
CHEMBL2314779,O=C(N[C@H](C(=O)Nc1cc(C(CO)NCc2ccccc2)ccc1C(=O)c1ccccc1)c1ccccc1)OCc1ccccc1,IC50,=,4100.0,nM,613.714,6.347000000000005,4.0,6.0,5.3872161432802645,0
CHEMBL2314793,O=C(N[C@@H](C(=O)Nc1cc(C(O)CNCc2ccccc2)ccc1C(=O)c1ccccc1)c1ccccc1)OCc1ccccc1,IC50,=,2600.0,nM,613.714,6.347000000000005,4.0,6.0,5.585026652029182,0
CHEMBL2314792,O=C(N[C@H](C(=O)Nc1cc(C(O)CNCc2ccccc2)ccc1C(=O)c1ccccc1)c1ccccc1)OCc1ccccc1,IC50,=,2400.0,nM,613.714,6.347000000000005,4.0,6.0,5.619788758288394,0
CHEMBL2314791,CC(C)(C)OC(=O)N1CCN(CC(O)c2ccc(C(=O)c3ccccc3)c(NC(=O)[C@H](NC(=O)OCc3ccccc3)c3ccccc3)c2)CC1,IC50,=,4900.0,nM,692.8130000000002,6.109900000000007,3.0,8.0,5.309803919971486,0
CHEMBL2314789,O=C1Nc2ccccc2C(c2ccccc2)=N[C@H]1C(O)CN1CCNCC1,IC50,=,12500.0,nM,364.4490000000002,1.1107999999999998,3.0,5.0,4.903089986991944,0
CHEMBL2314788,O=C1Nc2cc(C(CO)NCc3ccccc3)ccc2C(c2ccccc2)=N[C@@H]1c1ccccc1,IC50,=,10900.0,nM,461.56500000000017,5.040600000000004,3.0,4.0,4.962573502059376,0
CHEMBL2314782,CC(C)(C)OC(=O)N1CCN(c2cccc3c2NC(=O)[C@H](c2ccccc2)N=C3c2ccccc2)CC1,IC50,=,35000.0,nM,496.6110000000003,5.274500000000005,1.0,5.0,4.455931955649724,0
CHEMBL2314781,CC(C)(C)OC(=O)N1CCN(c2cccc3c2NC(=O)[C@@H](c2ccccc2)N=C3c2ccccc2)CC1,IC50,=,43000.0,nM,496.6110000000003,5.274500000000005,1.0,5.0,4.366531544420414,0
CHEMBL2315715,CN1CC(=O)OB(/C=C/c2ccccc2)OC(=O)C1,IC50,=,136150.0,nM,259.07,0.7590000000000001,0.0,5.0,3.8659823543240166,0
CHEMBL2322540,NCc1ccc(CNC(=O)Cc2ccc(-c3c(F)c(F)c(F)c(F)c3F)cc2)cc1,IC50,=,101000.0,nM,420.38100000000003,4.3667000000000025,2.0,2.0,3.9956786262173574,0
CHEMBL2322536,C[C@@H](C(=O)NCc1ccc(CN)cc1)c1ccc(-c2ccccc2)c(F)c1,IC50,=,85700.0,nM,362.448,4.371300000000003,2.0,2.0,4.0670191780768015,0
CHEMBL2322830,O=C(Cc1ccc(-c2ccccc2)cc1)NCc1ccc(CN2Cc3ccccc3C2)cc1,IC50,=,63300.0,nM,432.56700000000023,5.728300000000005,1.0,2.0,4.198596289982645,0
CHEMBL2322541,NCc1ccc(CNC(=O)Cc2ccc(-c3cccc(C(F)(F)F)c3)cc2)cc1,IC50,=,58900.0,nM,398.428,4.690000000000003,2.0,2.0,4.229884705212898,0
CHEMBL2322535,CC(C(=O)NCc1ccc(CN)cc1)c1ccc(-c2ccccc2)c(F)c1,IC50,=,77100.0,nM,362.448,4.371300000000003,2.0,2.0,4.112945621949043,0
CHEMBL2322539,NCc1ccc(CNC(=O)Cc2ccc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)cc1,IC50,=,63900.0,nM,466.425,5.708800000000004,2.0,2.0,4.194499141841599,0
CHEMBL2322833,NCc1ccc(CNC(=O)Cc2ccc(-c3ccccc3)cc2)cc1,IC50,=,323000.0,nM,330.431,3.6712000000000025,2.0,2.0,3.490797477668897,0
CHEMBL2322537,CC(C)C(C(=O)NCc1ccc(CN)cc1)c1ccc(-c2ccccc2)cc1,IC50,=,33500.0,nM,372.51200000000006,4.868300000000004,2.0,2.0,4.474955192963154,0
CHEMBL2322538,NCc1ccc(CNC(=O)C(Cc2ccccc2)c2ccc(-c3ccccc3)cc2)cc1,IC50,=,26900.0,nM,420.5560000000001,5.4550000000000045,2.0,2.0,4.570247719997592,0
CHEMBL2346804,CC1(C)Cc2cc(Cl)ccc2C(N[C@@H](Cc2ccccc2)c2ncc(I)c(=O)[nH]2)=N1,IC50,=,590.0,nM,532.8130000000001,4.682800000000003,2.0,4.0,6.229147988357855,0
CHEMBL2346803,CC1(C)Cc2cc(Cl)ccc2C(N[C@@H](Cc2ccccc2)c2ncc3ccoc3n2)=N1,IC50,=,73700.0,nM,430.93900000000014,5.531100000000004,1.0,5.0,4.132532512140949,0
CHEMBL2346802,CC1(C)Cc2cc(Cl)ccc2C(N[C@@H](Cc2ccccc2)c2ncc(C#N)c(=O)[nH]2)=N1,IC50,=,470.0,nM,431.92700000000013,3.949880000000002,2.0,5.0,6.327902142064283,0
CHEMBL2346801,CC1(C)Cc2cc(Cl)ccc2C(N[C@@H](Cc2ccccc2)c2ncc(Cl)c(=O)[nH]2)=N1,IC50,=,560.0,nM,441.3620000000001,4.731600000000003,2.0,4.0,6.251811972993799,0
CHEMBL2346800,CC1(C)Cc2cc(Cl)ccc2C(N[C@@H](Cc2ccccc2)c2nc3ccncc3c(=O)[nH]2)=N1,IC50,=,170.0,nM,457.96500000000015,4.626400000000003,2.0,5.0,6.769551078621726,0
CHEMBL2346799,CC1(C)Cc2cc(Cl)ccc2C(N[C@@H](Cc2ccccc2)c2nc3ccccc3c(=O)[nH]2)=N1,IC50,=,7230.0,nM,456.97700000000015,5.231400000000004,2.0,4.0,5.140861702705469,0
CHEMBL2346798,CC1(C)Cc2cc(Cl)ccc2C(N[C@@H](Cc2ccccc2)c2nccc(=O)[nH]2)=N1,IC50,=,2710.0,nM,406.9170000000001,4.078200000000002,2.0,4.0,5.567030709125595,0
CHEMBL2346797,CC1(C)Cc2cc(Cl)ccc2C(NC(Cc2ccccc2)c2n[nH]c(=O)[nH]2)=N1,IC50,=,3370.0,nM,395.89400000000006,3.4063000000000008,3.0,4.0,5.4723700991286615,0
CHEMBL2346796,CC1(C)Cc2cc(Cl)ccc2C(N[C@@H](Cc2ccccc2)c2noc(=O)[nH]2)=N1,IC50,=,750.0,nM,396.8780000000001,3.6712000000000016,2.0,5.0,6.1249387366083,0
CHEMBL2346794,CC1(C)Cc2cc(Cl)ccc2C(NC(Cc2ccccc2)c2ncccn2)=N1,IC50,=,137100.0,nM,390.91800000000006,4.784900000000004,1.0,4.0,3.8629625452104874,0
CHEMBL2346793,Cc1nnc(C(Cc2ccccc2)NC2=NC(C)(C)Cc3cc(Cl)ccc32)o1,IC50,=,339700.0,nM,394.9060000000001,4.686320000000004,1.0,5.0,3.468904453129972,0
CHEMBL2346792,CC1(C)Cc2cc(Cl)ccc2C(NC(Cc2ccccc2)c2nnco2)=N1,IC50,=,184900.0,nM,380.8790000000001,4.377900000000003,1.0,5.0,3.7330630888408267,0
CHEMBL2346791,CC1(C)Cc2ccccc2C(NC(Cc2ccccc2)c2nnn[nH]2)=N1,IC50,=,638600.0,nM,346.438,2.8546000000000014,2.0,5.0,3.194771085796574,0
CHEMBL2346790,CC1(C)Cc2cc(Cl)ccc2C(N[C@@H](Cc2ccccc2)C(=O)O)=N1,IC50,=,2840.0,nM,356.85300000000007,3.706800000000001,2.0,3.0,5.546681659952962,0
CHEMBL2346789,Cc1ccc2c(c1)CC(C)(C)N=C2N[C@@H](Cc1ccccc1)C(=O)O,IC50,=,5410.0,nM,336.43500000000006,3.3618200000000016,2.0,3.0,5.266802734893431,0
CHEMBL2136098,CC1(C)Cc2ccccc2C(NC(Cc2ccccc2)C(=O)O)=N1,IC50,=,27200.0,nM,322.408,3.0534000000000017,2.0,3.0,4.565431095965801,0
CHEMBL2347190,N#Cc1ccc(C(=O)Nc2ccc(F)c([C@@]3(CF)N=C(N)OCC3(F)F)c2)nc1,IC50,=,49.0,nM,407.32700000000006,2.489680000000001,2.0,6.0,7.309803919971486,1
CHEMBL2347189,C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)O[C@@H](C(F)(F)F)[C@@H]1F,IC50,=,40.0,nM,439.3440000000001,3.1737800000000016,2.0,6.0,7.3979400086720375,1
